Unnamed: 0,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider County Name,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Number of Penalties,Avg Hospital Stay,Treatment cost (in thousands $),Hospital readmission rates(in %),Patient wait time (mins),Patient satisfaction rate(out of 10),ER wait time,Primary Care Provider(PCP),Cluster
11678,195314,"JEFF DAVIS LIVING CENTER, LLC",1338 NORTH CUTTING AVENUE,JENNINGS,LA,70546,3378243165,Jeffrson Davis,120,70.3,Medicare and Medicaid,1,2,1,1,2.8733,0.03638,28.667,0,0,0,0,3,28,27,75,1,27,PD,Cluster 2
11679,676300,CANTON OAKS,1901 S TRADE DAYS BLVD,CANTON,TX,75103,9035670444,Van Zandt,78,84.4,Medicare and Medicaid,3,3,5,1,3.21821,0.06052,66.0,2,1,0,0,9,32,24,76,7,31,FP,Cluster 2
11680,335427,ONEIDA HEALTH REHABILITATION AND EXTENDED CARE,323 GENESEE STREET,ONEIDA,NY,13421,3153636000,Madison,160,151.9,Medicare and Medicaid,4,3,5,3,4.06751,0.07199,17.333,0,1,0,0,3,30,18,15,1,29,FP,Cluster 3
11681,285115,ARBOR CARE CENTERS-FULLERTON LLC,"PO BOX 648, 202 NORTH ESTHER",FULLERTON,NE,68638,3085362488,Nance,75,57.3,Medicare and Medicaid,5,4,5,2,3.21722,0.008870000000000001,24.0,8,2,0,0,3,42,15,65,7,10,PD,Cluster 0
11682,155757,ROSEGATE VILLAGE,7510 ROSEGATE DR,INDIANAPOLIS,IN,46237,3178899300,Marion,150,139.1,Medicare and Medicaid,5,4,5,2,3.5897300000000003,0.12223,26.667,0,0,0,0,3,45,16,45,5,12,No,Cluster 0
11683,185201,SIGNATURE HEALTHCARE AT TANBARK REHAB & WELLNESS C,1121 TANBARK ROAD,LEXINGTON,KY,40515,8592737377,Fayette,34,30.8,Medicare,5,4,4,5,5.9968,0.40382,14.0,0,0,0,0,8,49,14,45,1,16,PD,Cluster 0
11684,225283,WEBSTER MANOR REHABILITATION & HEALTH CARE CENTER,745 SCHOOL STREET,WEBSTER,MA,1570,5089490644,Worcester,135,127.6,Medicare and Medicaid,2,2,4,2,3.27518,0.08227999999999999,59.333,0,1,1,1,5,22,24,15,8,26,FP,Cluster 2
11685,146132,SOUTH SUBURBAN REHAB CENTER,19000 SOUTH HALSTED,HOMEWOOD,IL,60430,7089579200,Cook,259,171.7,Medicare and Medicaid,1,2,3,1,3.0729900000000003,0.05042,64.0,0,17,1,1,7,20,16,66,3,26,FP,Cluster 3
11686,155330,SALEM CROSSING,200 CONNIE AVE,SALEM,IN,47167,8128831877,Washington,92,83.0,Medicare and Medicaid,4,3,5,3,3.65854,0.14822000000000002,35.333,5,5,1,1,8,36,15,45,3,14,FP,Cluster 0
11687,55566,COASTAL VIEW HEALTHCARE CENTER,4904 TELEGRAPH RD,VENTURA,CA,93003,8056424101,Ventura,96,77.9,Medicare,5,4,5,4,4.65972,0.14057,48.667,0,6,0,0,8,46,15,95,6,15,FP,Cluster 0
11688,335404,RENAISSANCE REHABILITATION AND NURSING CARE CENTER,4975 ALBANY POST ROAD,STAATSBURG,NY,12580,8458894500,Dutchess,120,115.0,Medicare and Medicaid,4,4,4,2,3.22535,0.07215,6.0,0,0,0,0,8,42,16,15,1,17,FP,Cluster 2
11689,55461,CALIFORNIA POST ACUTE,909 S LAKE STREET,LOS ANGELES,CA,90006,2133857301,Los Angeles,66,53.9,Medicare and Medicaid,2,1,5,3,4.43027,0.00589,128.0,6,4,0,0,2,14,32,94,6,42,PD,Cluster 1
11690,385250,ROGUE VALLEY MANOR,1200 MIRA MAR AVENUE,MEDFORD,OR,97504,5418577777,Jackson,68,35.1,Medicare,5,5,5,5,5.86198,0.08141,12.0,0,0,0,0,5,58,15,95,5,17,PD,Cluster 0
11691,245333,FAIRFAX COMMUNITY HOME,300 TENTH AVENUE SOUTHEAST,FAIRFAX,MN,55332,5074268241,Renville,29,20.9,Medicare and Medicaid,5,4,5,5,4.9816400000000005,0.05608,14.667,4,0,0,0,5,9,14,55,3,13,GER,Cluster 0
11692,425145,PRUITTHEALTH-AIKEN,830 LAURENS STREET NORTH,AIKEN,SC,29801,8036496264,Aiken,176,156.2,Medicare and Medicaid,1,1,2,3,3.55912,0.051910000000000005,166.667,13,0,0,0,8,15,25,25,4,31,FP,Cluster 1
11693,265589,ST PETERS MANOR CARE CENTER,230 SPENCER ROAD,SAINT PETERS,MO,63376,6364412750,St. Charles,96,91.2,Medicare and Medicaid,2,2,5,1,2.76732,0.00893,79.333,1,11,0,0,6,27,29,65,8,25,FP,Cluster 2
11694,65297,ALLISON CARE CENTER,1660 ALLISON ST,LAKEWOOD,CO,80214,3032327177,Jefferson,93,83.2,Medicare and Medicaid,5,3,5,4,3.07397,0.01366,38.0,0,1,0,0,3,30,17,82,7,30,PD,Cluster 2
11695,366016,MAIN STREET TERRACE CARE CENTER,1318 E MAIN STREET,LANCASTER,OH,43130,7406538767,Fairfield,50,45.2,Medicare and Medicaid,4,3,5,3,3.83602,0.0,35.333,0,1,0,0,7,3,18,46,5,27,FP,Cluster 2
11696,395690,SPRINGFIELD REHABILITATION AND HEALTHCARE  CENTER,463 WEST SPROUL ROAD,SPRINGFIELD,PA,19064,6105442200,Delaware,100,51.1,Medicare,3,2,3,5,4.82915,0.31845,73.833,1,1,0,0,6,28,12,15,9,14,FP,Cluster 0
11697,235548,"INN AT FREEDOM VILLAGE, THE",145 COLUMBIA AVE,HOLLAND,MI,49423,6168207600,Ottawa,39,25.2,Medicare,4,2,5,5,6.6966100000000015,0.34168000000000004,104.333,17,0,0,1,6,26,16,45,4,17,FP,Cluster 0
11698,345556,DEERFIELD EPISCOPAL  RETIREMENT,1617  HENDERSONVELLE ROAD,ASHEVILLE,NC,28803,8282741531,Buncombe,62,60.0,Medicare,5,5,5,5,7.0461,0.01651,0.0,0,0,0,0,8,50,10,25,5,14,No,Cluster 0
11699,175151,LAWRENCE MEMORIAL HOSPITAL SNF,325 MAINE STREET,LAWRENCE,KS,66044,7857496470,Douglas,17,15.2,Medicare,5,5,5,5,8.681230000000001,0.0,9.333,0,0,0,0,7,4,10,65,5,12,PD,Cluster 0
11700,366407,AVENUE AT MEDINA,699 EAST SMITH ROAD,MEDINA,OH,44256,3307217001,Medina,70,63.5,Medicare and Medicaid,5,5,4,3,3.64872,0.09246,12.0,0,0,0,0,3,56,11,46,4,12,PD,Cluster 0
11701,55612,SHADOWBROOK POST ACUTE,1 GILMORE LANE,OROVILLE,CA,95966,5305341353,Butte,50,35.0,Medicare and Medicaid,2,1,5,4,5.00247,0.03274,159.667,4,8,0,1,5,10,21,96,1,30,No,Cluster 1
11702,235416,MEDILODGE OF STERLING,500 SCHOOL RD,STERLING,MI,48659,9896542496,Arenac,39,36.8,Medicare and Medicaid,5,5,5,5,4.51015,0.0155,28.0,6,2,0,0,9,55,10,45,4,15,No,Cluster 0
11703,125003,KULA HOSPITAL,100 KEOKEA PLACE,KULA,HI,96790,8088781221,Maui,105,85.9,Medicare and Medicaid,4,2,5,5,4.4585300000000005,0.06831,49.333,1,0,1,1,8,24,19,95,1,25,FP,Cluster 2
11704,335238,THE VALLEY VIEW CENTER FOR NURSING CARE AND REHAB,GLENMERE COVE RD PO BOX 59,GOSHEN,NY,10924,8452914740,Orange,360,337.8,Medicare and Medicaid,3,2,5,2,3.69668,0.06192,33.333,0,1,0,0,8,26,16,15,3,20,FP,Cluster 3
11705,555780,VILLA DEL RIO GARDENS,7004 EAST GAGE AVENUE,BELL GARDENS,CA,90201,5629276586,Los Angeles,84,77.3,Medicare and Medicaid,2,1,5,3,3.84087,0.035789999999999995,228.667,10,34,0,1,5,18,31,95,8,35,No,Cluster 1
11706,225293,SOUTHBRIDGE REHABILITATION & HEALTH CARE CENTER,84 CHAPIN STREET,SOUTHBRIDGE,MA,1550,5087659133,Worcester,144,131.6,Medicare and Medicaid,2,2,4,2,3.3920800000000004,0.05461,48.0,0,1,0,0,5,23,21,15,9,31,No,Cluster 2
11707,205137,LEDGEWOOD MANOR,"200 ROUTE 115, PO BOX 760",WINDHAM,ME,4062,2078922261,Cumberland,60,42.3,Medicare and Medicaid,2,1,4,4,4.34835,0.02406,84.5,0,1,1,1,2,55,19,45,3,32,FP,Cluster 2
11708,366390,NORTH PARK CARE CENTER,14801 HOLLAND ROAD,BROOK PARK,OH,44142,2168031995,Cuyahoga,30,25.2,Medicare and Medicaid,5,3,5,4,4.2910900000000005,0.04225,29.333,0,0,0,0,2,32,15,46,9,15,PD,Cluster 0
11709,285262,HERITAGE CARE CENTER,"P O BOX 667, 909 17TH STREET",FAIRBURY,NE,68352,4027292289,Jefferson,100,57.5,Medicare and Medicaid,4,4,4,4,4.60456,0.01853,23.333,3,0,0,0,4,46,16,65,6,11,FP,Cluster 0
11710,56327,WALNUT CREEK SKILLED NURSING & REHABILITATION CENT,1224 ROSSMOOR PARKWAY,WALNUT CREEK,CA,94595,9259377450,Contra Costa,180,151.5,Medicare and Medicaid,3,2,3,4,5.4871,0.07468,93.333,6,14,1,1,9,24,24,93,7,32,GER,Cluster 1
11711,505251,WHITMAN HEALTH & REHAB CENTER,1150 WEST FAIRVIEW ROAD,COLFAX,WA,99111,5093974603,Whitman,55,35.7,Medicare and Medicaid,5,4,4,5,4.29985,0.21165,78.0,6,3,0,0,5,42,13,95,5,14,PD,Cluster 0
11712,676348,MADISON MEDICAL RESORT,5001 OFFICE PARK DRIVE,ODESSA,TX,79762,4323621800,Ector,124,120.3,Medicare and Medicaid,2,3,4,1,3.2624,0.03385,61.333,0,1,1,1,4,32,21,76,4,31,GIM,Cluster 2
11713,345008,"THE CITADEL AT MYERS PARK, LLC",300 PROVIDENCE ROAD,CHARLOTTE,NC,28207,7043341671,Mecklenburg,133,95.9,Medicare and Medicaid,1,1,1,1,3.03325,0.04024,91.833,0,5,1,1,7,10,32,25,1,44,FP,Cluster 1
11714,525725,GRACE LUTH COMMUNITIES-PRAIRIE POINTE REHAB SUITES,286 N WILLSON DR,ALTOONA,WI,54720,7155987800,Eau Claire,48,37.1,Medicare and Medicaid,4,3,4,5,4.68576,0.13175,36.0,0,0,1,1,7,36,12,55,4,13,FP,Cluster 0
11715,415106,ST ANTOINE RESIDENCE,10 RHODES AVENUE,NORTH SMITHFIELD,RI,2896,4017673500,Providence,260,240.7,Medicare and Medicaid,2,1,4,4,4.21325,0.061929999999999985,112.167,7,1,2,2,4,12,13,25,1,22,PD,Cluster 3
11716,395044,OAKMONT CENTER FOR NURSING & REHABILITATION,26 ANN STREET,OAKMONT,PA,15139,4128287300,Allegheny,85,72.2,Medicare and Medicaid,2,2,3,3,3.4249,0.10966,54.0,0,18,0,0,4,24,25,15,4,27,FP,Cluster 2
11717,155124,VERMILLION CONVALESCENT CENTER,1705 S MAIN ST,CLINTON,IN,47842,7658323573,Vermillion,119,62.6,Medicare and Medicaid,2,2,2,2,2.91537,0.0,61.333,0,4,0,0,7,4,28,45,1,27,FP,Cluster 2
11718,195420,NAOMI HEIGHTS NURSING & REHABILITATION CENTER,2421 E. TEXAS AVENUE,ALEXANDRIA,LA,71301,3184435638,Rapides,139,97.8,Medicare and Medicaid,1,2,1,2,3.88296,0.02627,34.667,0,0,0,0,3,28,29,75,1,34,No,Cluster 2
11719,45364,CHAPEL RIDGE HEALTH AND REHAB,4623 ROGERS AVE,FORT SMITH,AR,72903,4794521541,Sebastian,157,88.3,Medicare and Medicaid,5,4,5,3,4.18261,0.01513,32.667,0,0,0,0,4,41,13,73,4,10,PD,Cluster 0
11720,55099,CREEKSIDE HEALTHCARE CENTER,1900 CHURCH LANE,SAN PABLO,CA,94806,5102355514,Contra Costa,80,74.2,Medicare and Medicaid,4,2,5,4,4.27453,0.11726,87.333,0,0,0,0,5,22,14,90,9,11,PD,Cluster 0
11721,155401,BEN HUR HEALTH AND REHABILITATION,1375 S GRANT AVE,CRAWFORDSVILLE,IN,47933,7653620905,Montgomery,110,99.9,Medicare and Medicaid,2,2,3,2,3.75441,0.10901,49.333,2,5,1,1,7,27,29,45,1,28,PD,Cluster 2
11722,675028,ESTATES HEALTHCARE AND REHABILITATION CENTER,201 SYCAMORE SCHOOL RD,FORT WORTH,TX,76134,8172937610,Tarrant,97,97.9,Medicare and Medicaid,1,1,2,2,3.24315,0.04548,165.333,0,5,1,1,8,12,31,75,9,40,FP,Cluster 1
11723,165574,PRAIRIE VIEW HOME,610 EASTERN STREET,SANBORN,IA,51248,7129303228,Obrien,73,68.3,Medicare and Medicaid,5,4,5,4,3.4388,0.01057,9.333,0,1,0,0,7,44,10,55,7,12,PD,Cluster 0
11724,75294,WHISPERING PINES REHABILITATION AND NURSING CENTER,38 TALMADGE AVENUE,EAST HAVEN,CT,6512,2034692316,New Haven,90,85.2,Medicare and Medicaid,3,2,5,3,3.78776,0.15291,61.333,4,3,1,1,2,27,22,62,4,29,FP,Cluster 2
11725,285149,MAPLE CREST HEALTH CENTER,2824 NORTH 66TH AVENUE,OMAHA,NE,68104,4025512110,Douglas,175,149.2,Medicare and Medicaid,3,2,2,4,4.31417,0.03395,64.0,5,17,0,1,4,23,24,65,4,39,GER,Cluster 1
11726,235450,ALLENDALE NURSING AND REHABILITATION COMMUNITY,11007 RADCLIFF DR,ALLENDALE,MI,49401,6168956688,Ottawa,60,54.9,Medicare and Medicaid,3,3,4,3,3.53295,0.25749,81.333,0,0,1,1,6,35,19,45,5,25,FP,Cluster 2
11727,55129,GRAND TERRACE CARE CENTER,12000 MT VERNON AVENUE,GRAND TERRACE,CA,92313,9098255221,San Bernardino,59,49.4,Medicare and Medicaid,2,2,4,3,4.70986,0.13193,82.0,1,1,0,0,9,27,25,91,9,27,PD,Cluster 2
11728,365286,CARINGTON PARK,2217 WEST AVE,ASHTABULA,OH,44004,4409648446,Ashtabula,180,166.7,Medicare and Medicaid,2,3,4,1,2.84615,0.0076900000000000015,32.0,0,0,0,0,4,38,17,45,8,24,FP,Cluster 3
11729,676155,THE COURTYARDS AT PASADENA,4048 RED BLUFF ROAD,PASADENA,TX,77503,7134777877,Harris,196,123.8,Medicare and Medicaid,1,1,3,1,3.2893,0.04482,180.667,1,6,2,3,7,12,34,76,5,36,FP,Cluster 1
11730,375148,GLENWOOD HEALTHCARE,1700 EAST 141ST STREET,GLENPOOL,OK,74033,9182914230,Tulsa,119,76.6,Medicare and Medicaid,4,4,3,2,3.53685,0.01213,24.0,0,1,0,0,9,45,20,75,4,31,FP,Cluster 2
11731,445285,REELFOOT MANOR HEALTH AND REHAB,1034 REELFOOT DRIVE,TIPTONVILLE,TN,38079,7312536681,Lake,116,62.3,Medicare and Medicaid,1,2,4,1,2.94484,0.03005,32.667,0,0,0,0,7,29,26,35,8,30,GER,Cluster 2
11732,255321,HATTIESBURG HEALTH & REHAB CENTER,514 BAY STREET,HATTIESBURG,MS,39401,6015444230,Forrest,184,166.8,Medicare and Medicaid,3,2,3,4,4.5658400000000015,0.0075400000000000016,27.333,0,3,0,0,6,25,21,35,1,28,No,Cluster 3
11733,55409,COMMUNITY CARE AND REHABILITATION CENTER,4070 JURUPA AVENUE,RIVERSIDE,CA,92506,9516806500,Riverside,162,148.7,Medicare and Medicaid,2,1,5,2,3.98985,0.0,138.667,8,27,0,0,9,13,22,94,9,34,FP,Cluster 1
11734,375373,"PERRY GREEN VALLEY NURSING CENTER, LLC",1103 BIRCH STREET,PERRY,OK,73077,5803362285,Noble,112,64.2,Medicare and Medicaid,4,4,2,3,3.85736,0.00565,23.333,0,1,0,0,5,48,22,75,7,31,FP,Cluster 2
11735,25A402,JNH-JEFFERSON INN,3550 HWY 468 WEST - PO BOX 207 BLDG 33,WHITFIELD,MS,39193,6013518015,Rankin,89,72.3,Medicaid,4,2,5,4,4.30111,0.0,26.0,0,0,0,0,6,9,26,22,9,29,PD,Cluster 2
11736,35257,THE PEAKS HEALTH & REHABILITATION,3150 NORTH WINDING BROOK ROAD,FLAGSTAFF,AZ,86001,9287747106,Coconino,58,51.8,Medicare and Medicaid,4,2,5,5,4.69155,0.11148,30.0,2,3,0,0,9,26,10,82,7,15,FP,Cluster 0
11737,366088,AUSTINBURG NSG AND  REHAB CTR,2026 STATE ROUTE 45,AUSTINBURG,OH,44010,4402753019,Ashtabula,115,77.7,Medicare and Medicaid,5,4,5,2,3.59619,0.28559,28.0,0,1,0,0,4,45,15,46,8,18,FP,Cluster 0
11738,165446,WESTBROOK ACRES,605 GARFIELD STREET,GLADBROOK,IA,50635,6414732016,Tama,54,52.6,Medicare and Medicaid,5,4,5,3,3.25956,0.00627,6.667000000000002,0,0,0,0,6,42,10,55,4,12,GP,Cluster 0
11739,495302,THE CARRINGTON,2406 ATHERHOLT ROAD,LYNCHBURG,VA,24501,4348463200,Lynchburg City,97,75.6,Medicare and Medicaid,3,2,5,2,2.4453,0.01143,70.0,0,0,0,0,4,24,18,25,9,28,No,Cluster 2
11740,105346,AVALON HEALTHCARE CENTER,1270 SW MAIN BLVD,LAKE CITY,FL,32055,3867527900,Columbia,95,89.4,Medicare and Medicaid,2,2,4,3,4.02747,0.03841,54.0,0,2,0,0,3,20,16,35,4,33,PD,Cluster 2
11741,375188,POCOLA HEALTH AND REHAB,200 HOME STREET,POCOLA,OK,74902,9184362228,Le Flore,90,72.6,Medicare and Medicaid,1,2,1,2,3.76255,0.00801,90.0,0,3,1,2,9,27,28,75,8,31,PD,Cluster 2
11742,676437,ACCEL AT COLLEGE STATION,1500 MEDICAL AVENUE,COLLEGE STATION,TX,77845,9792721000,Brazos,116,96.6,Medicare and Medicaid,2,2,2,2,3.741,0.05846000000000001,105.833,0,5,1,1,9,23,22,76,3,26,No,Cluster 2
11743,495308,RIVERSIDE REHABILITATION CENTER AT HAMPTON,414 ALGONQUIN RD,HAMPTON,VA,23661,7577229881,Hampton City,130,112.0,Medicare and Medicaid,4,4,4,2,3.57587,0.09073,35.333,0,7,0,0,7,45,10,25,1,12,No,Cluster 0
11744,365669,FOUR WINDS NURSING FACILITY,215 SETH AVENUE,JACKSON,OH,45640,7402867551,Jackson,96,85.1,Medicare and Medicaid,4,3,5,2,3.17146,0.05008,32.0,0,1,0,0,7,31,15,45,6,32,FP,Cluster 2
11745,375498,BRADFORD VILLAGE HEALTHCARE CENTER,906 NORTH BLVD,EDMOND,OK,73034,4053410810,Oklahoma,122,85.9,Medicare and Medicaid,3,3,2,2,3.68069,0.05789,48.667,0,4,0,0,4,36,24,75,9,28,FP,Cluster 2
11746,105827,FINNISH-AMERICAN VILLAGE,1800 SOUTH DRIVE,LAKE WORTH,FL,33461,5615884333,Palm Beach,45,41.0,Medicare and Medicaid,2,1,4,4,4.63149,0.03481,58.667,0,1,1,1,5,16,26,35,4,25,No,Cluster 2
11747,155686,GOLDEN LIVING CENTER-KNOX,300 E CULVER RD,KNOX,IN,46534,5747726248,Starke,57,44.6,Medicare and Medicaid,4,4,3,2,2.78305,0.02972,16.667,0,1,0,0,5,47,19,45,8,31,PD,Cluster 2
11748,35196,MESA CHRISTIAN HEALTH AND REHABILITATION CENTER,255 WEST BROWN ROAD,MESA,AZ,85201,4808333988,Maricopa,191,134.2,Medicare and Medicaid,3,3,4,2,3.66512,0.04084,27.333,2,1,0,0,4,44,13,81,6,21,GP,Cluster 3
11749,145616,MASON CITY AREA NURSING HOME,520 NORTH PRICE AVENUE,MASON CITY,IL,62664,2174825022,Mason,66,55.6,Medicare and Medicaid,5,5,5,4,3.86537,0.01744,14.667,0,4,0,0,2,58,13,65,6,16,No,Cluster 0
11750,145972,PRESENCE COR MARIAE CENTER,3330 MARIA LINDEN DRIVE,ROCKFORD,IL,61114,8158777416,Winnebago,73,40.8,Medicare and Medicaid,3,2,2,4,3.80352,0.12342,74.333,1,8,2,2,8,28,25,65,7,29,PD,Cluster 2
11751,285139,"PREMIER ESTATES OF PIERCE, LLC","P O BOX 189, 515 EAST MAIN STREET",PIERCE,NE,68767,4023296228,Pierce,75,42.4,Medicare and Medicaid,3,3,4,3,2.8130900000000003,0.00677,32.667,4,4,0,0,4,38,22,65,3,34,No,Cluster 2
11752,425407,THE LODGE AT WELLMORE- TEGA CAY,111 WELLMORE DRIVE,FORT MILL,SC,29708,8038357000,York,60,51.6,Medicare and Medicaid,5,4,5,5,4.8625300000000005,0.10627,17.333,0,0,0,0,8,48,10,25,6,11,FP,Cluster 0
